Chemical_Group,Analyte,Matrix,Cycle,Ages,File,Variable,Weights,LOD,Units,LOD_Code,NA_Code,NS_Code,UL_Code,Convert_Units,Convert_Factor
acrylamide,acrylamide haemoglobin adduct,blood,3,3-79,ACRY,LAB_ACRY,WGT_ACRY,11,pmol/g Hb,995,996,999,,,
acrylamide,acrylamide haemoglobin adduct,blood,4,3-79,ACRY,LAB_ACRY,WGT_ACRY,11,pmol/g Hb,9995,9996,9999,,,
acrylamide,acrylamide haemoglobin adduct,blood,5,3-79,ACP,LAB_ACRY,WGT_ACP,11,pmol/g Hb,9995,9996,9999,,,
acrylamide,acrylamide haemoglobin adduct,blood,6,3-79,ACP,LAB_ACRY,WGT_ACP,11,pmol/g Hb,9995,9996,9999,,,
acrylamide,glycidamide haemoglobin adduct,blood,3,3-79,ACRY,LAB_GHA,WGT_ACRY,23,pmol/g Hb,995,996,999,,,
acrylamide,glycidamide haemoglobin adduct,blood,4,3-79,ACRY,LAB_GHA,WGT_ACRY,23,pmol/g Hb,9995,9996,9999,,,
acrylamide,glycidamide haemoglobin adduct,blood,5,3-79,ACP,LAB_GHA,WGT_ACP,23,pmol/g Hb,9995,9996,9999,,,
acrylamide,glycidamide haemoglobin adduct,blood,6,3-79,ACP,LAB_GHA,WGT_ACP,23,pmol/g Hb,9995,9996,9999,,,
chlorophenols,"2,4-dichlorophenol (2,4-DCP)",urine,1,6-79,HCLS,LAB_24DC,WGT_FULL,0.3,µg/L,999.999995,999.999996,999.999999,,,
chlorophenols,"2,4-dichlorophenol (2,4-DCP)",urine,2,3-79,EU,LAB_24DC,WGT_EU,0.3,µg/L,9999.95,9999.96,9999.99,,,
chlorophenols,"2,5-dichlorophenol (2,5-DCP)",urine,2,3-79,EU,LAB_25D,WGT_EU,0.3,µg/L,999999.95,999999.96,999999.99,,,
chlorophenols,"2,4,5-trichlorophenol (2,4,5-TCP)",urine,2,3-79,EU,LAB_245T,WGT_EU,0.5,µg/L,999.95,999.96,999.99,,,
chlorophenols,"2,4,6-trichlorophenol (2,4,6-TCP)",urine,2,3-79,EU,LAB_246T,WGT_EU,1,µg/L,999.5,999.6,999.9,,,
chlorophenols,pentachlorophenol (PCP),urine,2,3-79,EU,LAB_PCP,WGT_EU,0.7,µg/L,9999.5,9999.6,9999.9,,,
creatinine,creatinine,urine,1,6-79,HCLS,LAB_UCRE,WGT_FULL,0.3,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,2,3-79,HCL,LAB_UCRE,WGT_FULL,0.4,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,3,3-79,NEL,LAB_UCRE,WGT_FULL,0.44,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,4,3-79,NEL,LAB_UCRE,WGT_FULL,0.44,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,5,3-79,NEL,LAB_UCRE,WGT_FULL,0.44,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,6,3-79,NEL,LAB_UCRE,WGT_FULL,0.23,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
flame retardants: PBDEs,"4,4'-dibromodiphenyl ether (PBDE 15)",plasma,1,20-79,PBDE,PBD_015,WGT_PBDE,0.03,µg/L,9.9995,9.9996,9.9999,,,
flame retardants: PBDEs,"2,2',4-tribromodiphenyl ether (PBDE 17)",plasma,1,20-79,PBDE,PBD_017,WGT_PBDE,0.03,µg/L,9.99995,9.99996,9.99999,,,
flame retardants: PBDEs,"2,3',4-tribromodiphenyl ether (PBDE 25)",plasma,1,20-79,PBDE,PBD_025,WGT_PBDE,0.03,µg/L,9.99995,9.99996,9.99999,,,
flame retardants: PBDEs,"2,4,4'-tribromodiphenyl ether (PBDE 28)",plasma,1,20-79,PBDE,PBD_028,WGT_PBDE,0.03,µg/L,9.99995,9.99996,9.99999,,,
flame retardants: PBDEs,"2',3,4-tribromodiphenyl ether (PBDE 33)",plasma,1,20-79,PBDE,PBD_033,WGT_PBDE,0.03,µg/L,9.99995,9.99996,9.99999,,,
flame retardants: PBDEs,"2,2',4,4'-tetrabromodiphenyl ether (PBDE 47)",plasma,1,20-79,PBDE,PBD_047,WGT_PBDE,0.03,µg/L,99.99995,99.99996,99.99999,,,
flame retardants: PBDEs,"2,2',4,4',5-pentabromodiphenyl ether (PBDE 99)",plasma,1,20-79,PBDE,PBD_099,WGT_PBDE,0.02,µg/L,9.99995,9.99996,9.99999,,,
flame retardants: PBDEs,"2,2',4,4',6-pentabromodiphenyl ether (PBDE 100)",plasma,1,20-79,PBDE,PBD_100,WGT_PBDE,0.02,µg/L,9.99995,9.99996,9.99999,,,
flame retardants: PBDEs,"2,2',4,4',5,5'-hexabromobiphenyl (PBB 153)",plasma,1,20-79,PBDE,PBB_153,WGT_PBDE,0.02,µg/L,9.99995,9.99996,9.99999,,,
flame retardants: PBDEs,"2,2',4,4',5,5'-hexabromodiphenyl ether (PBDE 153)",plasma,1,20-79,PBDE,PBD_153,WGT_PBDE,0.02,µg/L,9.99995,9.99996,9.99999,,,
flame retardants: organophosphates,bis-2(butoxyethyl) phosphate (BBOEP),urine,6,3-79,HECS_GYM,LAB_BBEP,WGT_HECS,0.15,µg/L,9.95,9.96,9.99,,,
flame retardants: organophosphates,bis(2-chloropropyl) phosphate (BCIPP),urine,6,3-79,HECS_GYM,LAB_BCPP,WGT_HECS,0.047,µg/L,99.995,99.996,99.999,,,
flame retardants: organophosphates,"bis(1,3-dichloro-2-propyl) phosphate (BDCIPP)",urine,6,3-79,HECS_GYM,LAB_BDPP,WGT_HECS,0.050,µg/L,99.995,99.996,99.999,,,
flame retardants: organophosphates,diphenyl phosphate (DPHP),urine,6,3-79,HECS_GYM,LAB_DPHP,WGT_HECS,0.045,µg/L,999.995,999.996,999.999,,,
flame retardants: organophosphates,di-o-tolyl phosphate (DoCP),urine,6,3-79,HECS_GYM,LAB_DOCP,WGT_HECS,0.052,µg/L,9.95,9.96,9.99,,,
flame retardants: organophosphates,di-p-tolyl phosphate (DpCP),urine,6,3-79,HECS_GYM,LAB_DPCP,WGT_HECS,0.040,µg/L,9.995,9.996,9.999,,,
metals and trace elements,antimony,urine,1,6-79,HCLS,LAB_USB,WGT_FULL,0.2,nmol/L,999.95,999.96,999.99,,µg/L,× 0.1218
metals and trace elements,antimony,urine,2,3-79,HCL,LAB_USB,WGT_FULL,0.2,nmol/L,999.95,999.96,999.99,,µg/L,× 0.1218
metals and trace elements,arsenate (arsenic [V] acid),urine,2,3-79,EU,LAB_AS5,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,arsenate (arsenic [V] acid),urine,3,3-79,EU,LAB_AS5,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,arsenate (arsenic [V] acid),urine,4,3-79,EU,LAB_AS5,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,arsenate (arsenic [V] acid),urine,5,3-79,EU,LAB_AS5,WGT_EU,0.0019,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 74.92
metals and trace elements,arsenate (arsenic [V] acid),urine,6,3-79,EU,LAB_AS5,WGT_EU,0.0019,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 74.92
metals and trace elements,arsenic (total),blood,1,6-79,HCLS,LAB_BAS,WGT_FULL,3,nmol/L,9999.9995,9999.9996,9999.9999,,µg/L,× 0.07492
metals and trace elements,arsenic (total),urine,1,6-79,HCLS,LAB_UAS,WGT_FULL,0.007,µmol/L,99.99995,99.99996,99.99999,,µg/L,× 74.92
metals and trace elements,arsenic (total),urine,2,3-79,HCL,LAB_UAS,WGT_FULL,0.01,µmol/L,999.995,999.996,999.999,,µg/L,× 74.92
metals and trace elements,arsenite (arsenous [III] acid),urine,2,3-79,EU,LAB_AS3,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,arsenite (arsenous [III] acid),urine,3,3-79,EU,LAB_AS3,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,arsenite (arsenous [III] acid),urine,4,3-79,EU,LAB_AS3,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,arsenite (arsenous [III] acid),urine,5,3-79,EU,LAB_AS3,WGT_EU,0.0033,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 74.92
metals and trace elements,arsenite (arsenous [III] acid),urine,6,3-79,EU,LAB_AS3,WGT_EU,0.0033,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 74.92
metals and trace elements,arsenocholine,urine,3,3-79,EU,LAB_AC,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,arsenocholine,urine,4,3-79,EU,LAB_AC,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,arsenocholine and arsenobetaine,urine,2,3-79,EU,LAB_AB,WGT_EU,0.01,µmol/L,999.995,999.996,999.999,,µg/L,× 74.92
metals and trace elements,arsenocholine and arsenobetaine,urine,3,3-79,EU,LAB_AB,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,arsenocholine and arsenobetaine,urine,4,3-79,EU,LAB_AB,WGT_EU,0.01,µmol/L,99.995,99.996,99.999,,µg/L,× 74.92
metals and trace elements,arsenocholine and arsenobetaine,urine,5,3-79,EU,LAB_AB,WGT_EU,0.0014,µmol/L,99.9995,99.9996,99.9999,,µg/L,× 74.92
metals and trace elements,arsenocholine and arsenobetaine,urine,6,3-79,EU,LAB_AB,WGT_EU,0.0014,µmol/L,99.99995,99.99996,99.99999,,µg/L,× 74.92
metals and trace elements,dimethylarsinic acid (DMA),urine,2,3-79,EU,LAB_DMA,WGT_EU,0.01,µmol/L,99.995,99.996,99.999,,µg/L,× 74.92
metals and trace elements,dimethylarsinic acid (DMA),urine,3,3-79,EU,LAB_DMA,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,dimethylarsinic acid (DMA),urine,4,3-79,EU,LAB_DMA,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,dimethylarsinic acid (DMA),urine,5,3-79,EU,LAB_DMA,WGT_EU,0.0019,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 74.92
metals and trace elements,dimethylarsinic acid (DMA),urine,6,3-79,EU,LAB_DMA,WGT_EU,0.0019,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 74.92
metals and trace elements,monomethylarsonic acid (MMA),urine,2,3-79,EU,LAB_MMA,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,monomethylarsonic acid (MMA),urine,3,3-79,EU,LAB_MMA,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,monomethylarsonic acid (MMA),urine,4,3-79,EU,LAB_MMA,WGT_EU,0.01,µmol/L,9.995,9.996,9.999,,µg/L,× 74.92
metals and trace elements,monomethylarsonic acid (MMA),urine,5,3-79,EU,LAB_MMA,WGT_EU,0.0018,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 74.92
metals and trace elements,monomethylarsonic acid (MMA),urine,6,3-79,EU,LAB_MMA,WGT_EU,0.0018,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 74.92
metals and trace elements,boron,urine,3,3-79,HECS_ABC,LAB_UBR,WGT_HECS,16,µmol/L,999995,999996,999999,,µg/L,× 10.81
metals and trace elements,boron,urine,5,3-79,EU,LAB_UBR,WGT_EU,15,µmol/L,9995,9996,9999,,µg/L,× 10.81
metals and trace elements,boron,urine,6,3-79,EU,LAB_UBR,WGT_EU,15,µmol/L,9995,9996,9999,,µg/L,× 10.81
metals and trace elements,cadmium,blood,1,6-79,HCLS,LAB_BCD,WGT_FULL,0.4,nmol/L,999.99995,999.99996,999.99999,,µg/L,× 0.1124
metals and trace elements,cadmium,blood,2,3-79,HCL,LAB_BCD,WGT_FULL,0.4,nmol/L,999.5,999.6,999.9,,µg/L,× 0.1124
metals and trace elements,cadmium,blood,3,3-79,EL_FULL,LAB_BCD,WGT_FULL,0.71,nmol/L,999.95,999.96,999.99,,µg/L,× 0.1124
metals and trace elements,cadmium,blood,4,3-79,EL_FULL,LAB_BCD,WGT_FULL,0.71,nmol/L,999.95,999.96,999.99,,µg/L,× 0.1124
metals and trace elements,cadmium,blood,5,3-79,EL2,LAB_BCD,WGT_EL2,0.86,nmol/L,999.95,999.96,999.99,,µg/L,× 0.1124
metals and trace elements,cadmium,blood,6,3-79,EL2,LAB_BCD,WGT_EL2,0.86,nmol/L,999.95,999.96,999.99,,µg/L,× 0.1124
metals and trace elements,cadmium,urine,1,6-79,HCLS,LAB_UCD,WGT_FULL,0.8,nmol/L,99.995,99.996,99.999,,µg/L,× 0.1124
metals and trace elements,cadmium,urine,2,3-79,HCL,LAB_UCD,WGT_FULL,0.6,nmol/L,9999.5,9999.6,9999.9,,µg/L,× 0.1124
metals and trace elements,cadmium,urine,3,3-79,HECS_ABC,LAB_UCD,WGT_HECS,0.26,nmol/L,9999.95,9999.96,9999.99,,µg/L,× 0.1124
metals and trace elements,cadmium,urine,5,3-79,EU,LAB_UCD,WGT_EU,0.59,nmol/L,999.95,999.96,999.99,,µg/L,× 0.1124
metals and trace elements,cadmium,urine,6,3-79,EU,LAB_UCD,WGT_EU,0.42,nmol/L,999.95,999.96,999.99,,µg/L,× 0.1124
metals and trace elements,cesium,urine,2,3-79,HCL,LAB_UCS,WGT_FULL,1,nmol/L,9999.5,9999.6,9999.9,,µg/L,× 0.1329
metals and trace elements,chromium (VI),red blood cells,5,3-79,ACP,LAB_RBC,WGT_ACP,2.4,nmol/L,999.5,999.6,999.9,,µg/L,× 0.052
metals and trace elements,chromium (VI),red blood cells,6,3-79,ACP,LAB_RBC,WGT_ACP,2.4,nmol/L,999.5,999.6,999.9,,µg/L,× 0.052
metals and trace elements,cobalt,blood,2,3-79,HCL,LAB_BCO,WGT_FULL,0.6,nmol/L,9999.5,9999.6,9999.9,,µg/L,× 0.05893
metals and trace elements,cobalt,urine,2,3-79,HCL,LAB_UCO,WGT_FULL,1,nmol/L,99999.95,99999.96,99999.99,,µg/L,× 0.05893
metals and trace elements,copper,blood,1,6-79,HCLS,LAB_BCU,WGT_FULL,0.01,µmol/L,99.995,99.996,99.999,,µg/L,× 63.55
metals and trace elements,copper,blood,2,3-79,HCL,LAB_BCU,WGT_FULL,0.3,µmol/L,999.5,999.6,999.9,,µg/L,× 63.55
metals and trace elements,copper,urine,1,6-79,HCLS,LAB_UCU,WGT_FULL,0.005,µmol/L,99.99995,99.99996,99.99999,,µg/L,× 63.55
metals and trace elements,copper,urine,2,3-79,HCL,LAB_UCU,WGT_FULL,0.01,µmol/L,99.995,99.996,99.999,,µg/L,× 63.55
metals and trace elements,fluoride,urine,2,3-79,EU,LAB_FL,WGT_EU,1,µmol/L,9999.5,9999.6,9999.9,,mg/L,× 0.019
metals and trace elements,fluoride,urine,3,3-79,FLP,LAB_FL,WGT_FLP,0.64,µmol/L,999.5,999.6,999.9,,mg/L,× 0.019
metals and trace elements,fluoride,urine,4,3-79,FLP,LAB_FL,WGT_FLP,0.64,µmol/L,999.5,999.6,999.9,,mg/L,× 0.019
metals and trace elements,fluoride,urine,5,3-79,HECS_GYM,LAB_FL,WGT_HECS,1.0,µmol/L,999.5,999.6,999.9,,mg/L,× 0.019
metals and trace elements,fluoride,urine,6,3-79,HECS_GYM,LAB_FL,WGT_HECS,1.0,µmol/L,999.5,999.6,999.9,,mg/L,× 0.019
metals and trace elements,lead,blood,1,6-79,HCLS,LAB_BPB,WGT_FULL,0.001,µmol/L,9.99995,9.99996,9.99999,,µg/dL,× 20.72
metals and trace elements,lead,blood,2,3-79,HCL,LAB_BPB,WGT_FULL,0.005,µmol/L,9.995,9.996,9.999,,µg/dL,× 20.72
metals and trace elements,lead,blood,3,3-79,EL,LAB_BPB,WGT_FULL,0.0078,µmol/L,9.9995,9.9996,9.9999,,µg/dL,× 20.72
metals and trace elements,lead,blood,4,3-79,EL,LAB_BPB,WGT_FULL,0.0078,µmol/L,9.9995,9.9996,9.9999,,µg/dL,× 20.72
metals and trace elements,lead,blood,5,3-79,EL2,LAB_BPB,WGT_EL2,0.0083,µmol/L,9.9995,9.9996,9.9999,,µg/dL,× 20.72
metals and trace elements,lead,blood,6,3-79,EL2,LAB_BPB,WGT_EL2,0.0083,µmol/L,9.9995,9.9996,9.9999,,µg/dL,× 20.72
metals and trace elements,lead,urine,1,6-79,HCLS,LAB_UPB,WGT_FULL,0.0005,µmol/L,9.999995,9.999996,9.999999,,µg/dL,× 20.72
metals and trace elements,lead,urine,2,3-79,HCL,LAB_UPB,WGT_FULL,0.001,µmol/L,9.9995,9.9996,9.9999,,µg/dL,× 20.72
metals and trace elements,manganese,blood,1,6-79,HCLS,LAB_BMN,WGT_FULL,10,nmol/L,9999.995,9999.996,9999.999,,µg/L,× 0.05494
metals and trace elements,manganese,blood,2,3-79,HCL,LAB_BMN,WGT_FULL,10,nmol/L,9995,9996,9999,,µg/L,× 0.05494
metals and trace elements,manganese,urine,1,6-79,HCLS,LAB_UMN,WGT_FULL,1,nmol/L,9999.9995,9999.9996,9999.9999,,µg/L,× 0.05494
metals and trace elements,manganese,urine,2,3-79,HCL,LAB_UMN,WGT_FULL,3,nmol/L,9999.5,9999.6,9999.9,,µg/L,× 0.05494
metals and trace elements,mercury (inorganic),blood,1,6-79,BIHG,LAB_BIHG,WGT_BIHG,2,nmol/L,999.995,999.996,999.999,,µg/L,× 0.2006
metals and trace elements,mercury (inorganic),blood,5,3-19,EL2,LAB_BIHG,WGT_EL2,1.1,nmol/L,99.5,99.6,99.9,,µg/L,× 0.2006
metals and trace elements,mercury (inorganic),blood,6,3-19,EL2,LAB_BIHG,WGT_EL2,1.1,nmol/L,99.95,99.96,99.99,,µg/L,× 0.2006
metals and trace elements,mercury (inorganic),urine,1,6-79,HCLS,LAB_UHG,WGT_FULL,0.5,nmol/L,999.995,999.996,999.999,,µg/L,× 0.2006
metals and trace elements,mercury (inorganic),urine,3,3-79,EL,LAB_UHG,WGT_FULL,0.8,nmol/L,999.95,999.96,999.99,,µg/L,× 0.2006
metals and trace elements,mercury (inorganic),urine,4,3-79,EL,LAB_UHG,WGT_FULL,0.8,nmol/L,999.95,999.96,999.99,,µg/L,× 0.2006
metals and trace elements,mercury (total),blood,1,6-79,HCLS,LAB_BHG,WGT_FULL,0.5,nmol/L,999.995,999.996,999.999,,µg/L,× 0.2006
metals and trace elements,mercury (total),blood,2,3-79,HCL,LAB_BHG,WGT_FULL,0.6,nmol/L,999.5,999.6,999.9,,µg/L,× 0.2006
metals and trace elements,mercury (total),blood,3,3-79,EL,LAB_BHG,WGT_FULL,2.1,nmol/L,999.5,999.6,999.9,,µg/L,× 0.2006
metals and trace elements,mercury (total),blood,4,3-79,EL,LAB_BHG,WGT_FULL,2.1,nmol/L,999.5,999.6,999.9,,µg/L,× 0.2006
metals and trace elements,mercury (total),blood,5,3-79,EL2,LAB_BHG,WGT_EL2,1,nmol/L,999.5,999.6,999.9,,µg/L,× 0.2006
metals and trace elements,mercury (total),blood,6,3-79,EL2,LAB_BHG,WGT_EL2,1,nmol/L,999.95,999.96,999.99,,µg/L,× 0.2006
metals and trace elements,methylmercury,blood,3,20-79,MEHG,LAB_MEHG,WGT_MEHG,0.9,nmol/L,999.95,999.96,999.99,,µg/L,× 0.21563
metals and trace elements,methylmercury,blood,4,20-79,MEHG,LAB_MEHG,WGT_MEHG,0.9,nmol/L,999.95,999.96,999.99,,µg/L,× 0.21563
metals and trace elements,methylmercury,blood,5,3-19,EL2,LAB_MEHG,WGT_EL2,0.9,nmol/L,999.95,999.96,999.99,,µg/L,× 0.21563
metals and trace elements,methylmercury,blood,6,3-19,EL2,LAB_MEHG,WGT_EL2,0.9,nmol/L,999.95,999.96,999.99,,µg/L,× 0.21563
metals and trace elements,molybdenum,blood,1,6-79,HCLS,LAB_BMO,WGT_FULL,1,nmol/L,999.995,999.996,999.999,,µg/L,× 0.09594
metals and trace elements,molybdenum,blood,2,3-79,HCL,LAB_BMO,WGT_FULL,1,nmol/L,999.5,999.6,999.9,,µg/L,× 0.09594
metals and trace elements,molybdenum,urine,1,6-79,HCLS,LAB_UMO,WGT_FULL,1,nmol/L,9999.95,9999.96,9999.99,,µg/L,× 0.09594
metals and trace elements,molybdenum,urine,2,3-79,HCL,LAB_UMO,WGT_FULL,10,nmol/L,999995,999996,999999,,µg/L,× 0.09594
metals and trace elements,nickel,blood,1,6-79,HCLS,LAB_BNI,WGT_FULL,6,nmol/L,999.9995,999.9996,999.9999,,µg/L,× 0.05869
metals and trace elements,nickel,blood,2,3-79,HCL,LAB_BNI,WGT_FULL,5,nmol/L,995,996,999,,µg/L,× 0.05869
metals and trace elements,nickel,urine,1,6-79,HCLS,LAB_UNI,WGT_FULL,3,nmol/L,999.9995,999.9996,999.9999,,µg/L,× 0.05869
metals and trace elements,nickel,urine,2,3-79,HCL,LAB_UNI,WGT_FULL,5,nmol/L,9999.5,9999.6,9999.9,,µg/L,× 0.05869
metals and trace elements,selenium,blood,1,6-79,HCLS,LAB_BSE,WGT_FULL,0.1,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 78.96
metals and trace elements,selenium,blood,2,3-79,HCL,LAB_BSE,WGT_FULL,0.2,µmol/L,99.5,99.6,99.9,,µg/L,× 78.96
metals and trace elements,selenium,blood,5,3-79,EL2,LAB_BSE,WGT_EL2,0.41,µmol/L,99.5,99.6,99.9,,µg/L,× 78.96
metals and trace elements,selenium,blood,6,3-79,EL2,LAB_BSE,WGT_EL2,0.41,µmol/L,99.5,99.6,99.9,,µg/L,× 78.96
metals and trace elements,selenium,urine,1,6-79,HCLS,LAB_USE,WGT_FULL,0.08,µmol/L,9.9995,9.9996,9.9999,,µg/L,× 78.96
metals and trace elements,selenium,urine,2,3-79,HCL,LAB_USE,WGT_FULL,0.05,µmol/L,99.95,99.96,99.99,,µg/L,× 78.96
metals and trace elements,silver,blood,2,3-79,HCL,LAB_BAG,WGT_FULL,0.5,nmol/L,9999.5,9999.6,9999.9,,µg/L,× 0.1079
metals and trace elements,silver,urine,2,3-79,HCL,LAB_UAG,WGT_FULL,1,nmol/L,99.5,99.6,99.9,,µg/L,× 0.1079
metals and trace elements,thallium,urine,2,3-79,HCL,LAB_UTI,WGT_FULL,0.1,nmol/L,999.95,999.96,999.99,,µg/L,× 0.2044
metals and trace elements,tungsten,urine,2,3-79,HCL,LAB_UW,WGT_FULL,1,nmol/L,9999.5,9999.6,9999.9,,µg/L,× 0.1838
metals and trace elements,uranium,blood,1,6-79,HCLS,LAB_BU,WGT_FULL,0.02,nmol/L,99.999995,99.999996,99.999999,,µg/L,× 0.2380
metals and trace elements,uranium,blood,2,3-79,HCL,LAB_BU,WGT_FULL,0.03,nmol/L,99.95,99.96,99.99,,µg/L,× 0.2380
metals and trace elements,uranium,urine,1,6-79,HCLS,LAB_UU,WGT_FULL,0.04,nmol/L,99.999995,99.999996,99.999999,,µg/L,× 0.2380
metals and trace elements,uranium,urine,2,3-79,HCL,LAB_UU,WGT_FULL,0.04,nmol/L,99.95,99.96,99.99,,µg/L,× 0.2380
metals and trace elements,vanadium,urine,1,6-79,HCLS,LAB_UV,WGT_FULL,2,nmol/L,999.95,999.96,999.99,,µg/L,× 0.05094
metals and trace elements,vanadium,urine,2,3-79,HCL,LAB_UV,WGT_FULL,2,nmol/L,999.95,999.96,999.99,,µg/L,× 0.05094
metals and trace elements,zinc,blood,1,6-79,HCLS,LAB_BZN,WGT_FULL,0.01,µmol/L,999.9995,999.9996,999.9999,,µg/L,× 65.39
metals and trace elements,zinc,blood,2,3-79,HCL,LAB_BZN,WGT_FULL,2,µmol/L,9995,9996,9999,,µg/L,× 65.39
metals and trace elements,zinc,urine,1,6-79,HCLS,LAB_UZN,WGT_FULL,0.2,µmol/L,99.995,99.996,99.999,,µg/L,× 65.39
