Chemical_Group,Analyte,Matrix,Cycle,Ages,File,Variable,Weights,LOD,Units,LOD_Code,NA_Code,NS_Code,UL_Code,Convert_Units,Convert_Factor
metals and trace elements,zinc,urine,2,3-79,HCL,LAB_UZN,WGT_FULL,0.2,µmol/L,9999.95,9999.96,9999.99,,µg/L,× 65.39
nicotine,cotinine,serum,6,3-79,EL,LAB_SCOT,WGT_FULL,0.005,µg/L,9999.9995,9999.9996,9999.9999,9999.9994,,
nicotine,cotinine,urine,1,6-79,HCLS,LAB_COT,WGT_FULL,1,µg/L,9999.999995,9999.999996,9999.999999,,,
nicotine,cotinine,urine,2,3-79,HCL,LAB_COT,WGT_FULL,1,µg/L,9999.5,9999.6,9999.9,,,
nicotine,cotinine,urine,3,3-79,EL,LAB_COT,WGT_FULL,1.1,µg/L,9999.5,9999.6,9999.9,,,
nicotine,cotinine,urine,4,3-79,EL,LAB_COT,WGT_FULL,1.1,µg/L,9999.5,9999.6,9999.9,,,
nicotine,cotinine,urine,5,3-79,EL,LAB_COT,WGT_FULL,1.1,µg/L,9999.5,9999.6,9999.9,,,
nicotine,cotinine,urine,6,3-79,TOB,LAB_COT,WGT_TOB,1.1,µg/L,9999.5,9999.6,9999.9,,,
per- and polyfluoroalkyl substances (PFAS),perfluorobutanoic acid (PFBA),plasma,2,12-79,EB,LAB_PFBA,WGT_EB,0.5,µg/L,99.5,99.6,99.9,,,
per- and polyfluoroalkyl substances (PFAS),perfluorobutanoic acid (PFBA),plasma,5,3-79,ACP,LAB_PFBA,WGT_ACP,0.075,µg/L,9.995,9.996,9.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorobutanoic acid (PFBA),plasma,6,3-79,ACP,LAB_PFBA,WGT_ACP,0.075,µg/L,9.995,9.996,9.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorohexanoic acid (PFHxA),plasma,2,12-79,EB,LAB_PFHA,WGT_EB,0.1,µg/L,9.5,9.6,9.9,,,
per- and polyfluoroalkyl substances (PFAS),perfluorohexanoic acid (PFHxA),plasma,5,3-79,ACP,LAB_PFHA,WGT_ACP,0.084,µg/L,9.995,9.996,9.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorohexanoic acid (PFHxA),plasma,6,3-79,ACP,LAB_PFHA,WGT_ACP,0.084,µg/L,9.995,9.996,9.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorooctanoic acid (PFOA),plasma,1,20-79,PFCS,LAB_PFOA,WGT_PFCS,0.3,µg/L,99.999995,99.999996,99.999999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorooctanoic acid (PFOA),plasma,2,12-79,EB,LAB_PFOA,WGT_EB,0.1,µg/L,999.95,999.96,999.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluorooctanoic acid (PFOA),plasma,5,3-79,ACP,LAB_PFOA,WGT_ACP,0.066,µg/L,99.95,99.96,99.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluorooctanoic acid (PFOA),plasma,6,3-79,ACP,LAB_PFOA,WGT_ACP,0.066,µg/L,99.95,99.96,99.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluorononanoic acid (PFNA),plasma,2,12-79,EB,LAB_PFNA,WGT_EB,0.2,µg/L,999.95,999.96,999.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluorononanoic acid (PFNA),plasma,5,3-79,ACP,LAB_PFNA,WGT_ACP,0.13,µg/L,999.95,999.96,999.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluorononanoic acid (PFNA),plasma,6,3-79,ACP,LAB_PFNA,WGT_ACP,0.13,µg/L,99.995,99.996,99.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorodecanoic acid (PFDA),plasma,2,12-79,EB,LAB_PFDA,WGT_EB,0.1,µg/L,99.95,99.96,99.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluorodecanoic acid (PFDA),plasma,5,3-79,ACP,LAB_PFDA,WGT_ACP,0.092,µg/L,9.995,9.996,9.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorodecanoic acid (PFDA),plasma,6,3-79,ACP,LAB_PFDA,WGT_ACP,0.092,µg/L,9.995,9.996,9.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluoroundecanoic acid (PFundA),plasma,2,12-79,EB,LAB_PFUD,WGT_EB,0.09,µg/L,99.95,99.96,99.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluoroundecanoic acid (PFundA),plasma,5,3-79,ACP,LAB_PFUD,WGT_ACP,0.12,µg/L,99.95,99.96,99.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluoroundecanoic acid (PFundA),plasma,6,3-79,ACP,LAB_PFUD,WGT_ACP,0.12,µg/L,99.995,99.996,99.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorobutane sulfonate (PFBS),plasma,2,12-79,EB,LAB_PFBS,WGT_EB,0.4,µg/L,9999.99995,9999.99996,9999.99999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorobutane sulfonate (PFBS),plasma,5,3-79,ACP,LAB_PFBS,WGT_ACP,0.066,µg/L,9.995,9.996,9.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorobutane sulfonate (PFBS),plasma,6,3-79,ACP,LAB_PFBS,WGT_ACP,0.066,µg/L,9.995,9.996,9.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorohexane sulfonate (PFHxS),plasma,1,20-79,PFCS,LAB_PFHS,WGT_PFCS,0.3,µg/L,999.999995,999.999996,999.999999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorohexane sulfonate (PFHxS),plasma,2,12-79,EB,LAB_PFHS,WGT_EB,0.2,µg/L,9999.95,9999.96,9999.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluorohexane sulfonate (PFHxS),plasma,5,3-79,ACP,LAB_PFHS,WGT_ACP,0.063,µg/L,999.995,999.996,999.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorohexane sulfonate (PFHxS),plasma,6,3-79,ACP,LAB_PFHS,WGT_ACP,0.063,µg/L,999.995,999.996,999.999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorooctane sulfonate (PFOS),plasma,1,20-79,PFCS,LAB_PFOS,WGT_PFCS,0.3,µg/L,999.999995,999.999996,999.999999,,,
per- and polyfluoroalkyl substances (PFAS),perfluorooctane sulfonate (PFOS),plasma,2,12-79,EB,LAB_PFOS,WGT_EB,0.3,µg/L,999.5,999.6,999.9,,,
per- and polyfluoroalkyl substances (PFAS),perfluorooctane sulfonate (PFOS),plasma,5,3-79,ACP,LAB_PFOS,WGT_ACP,0.43,µg/L,99.95,99.96,99.99,,,
per- and polyfluoroalkyl substances (PFAS),perfluorooctane sulfonate (PFOS),plasma,6,3-79,ACP,LAB_PFOS,WGT_ACP,0.43,µg/L,999.95,999.96,999.99,,,
personal care and consumer product chemicals,"4,4′-biphenol",urine,4,3-79,HECS_GYM,LAB_BP44,WGT_HECS,0.040,µg/L,99.995,99.996,99.999,,,
personal care and consumer product chemicals,"4,4′-biphenol",urine,5,3-79,HECS_GYM,LAB_BP44,WGT_HECS,0.040,µg/L,99.995,99.996,99.999,,,
personal care and consumer product chemicals,"4,4′-biphenol",urine,6,3-79,HECS_GYM,LAB_BP44,WGT_HECS,0.040,µg/L,99.995,99.996,99.999,,,
personal care and consumer product chemicals,bisphenol A,urine,1,6-79,HCLS,LAB_BPA,WGT_FULL,0.2,µg/L,999.9995,999.9996,999.9999,,,
personal care and consumer product chemicals,bisphenol A,urine,2,3-79,EU,LAB_BPA,WGT_EU,0.2,µg/L,9999.95,9999.96,9999.99,,,
personal care and consumer product chemicals,bisphenol A,urine,3,3-79,EL,LAB_BPA,WGT_FULL,0.23,µg/L,999.95,999.96,999.99,,,
personal care and consumer product chemicals,bisphenol A,urine,4,3-79,EU,LAB_BPA,WGT_EU,0.23,µg/L,999.95,999.96,999.99,,,
personal care and consumer product chemicals,bisphenol A,urine,5,3-79,EU,LAB_BPA,WGT_EU,0.32,µg/L,999.95,999.96,999.99,,,
personal care and consumer product chemicals,bisphenol A,urine,6,3-79,EU,LAB_BPA,WGT_EU,0.32,µg/L,999.95,999.96,999.99,,,
personal care and consumer product chemicals,bisphenol A,urine,4,3-79,HECS_GYM,BBK_BPA,WGT_HECS,0.016,µg/L,9999.995,9999.996,9999.999,,,
personal care and consumer product chemicals,bisphenol A,urine,5,3-79,HECS_GYM,BBK_BPA,WGT_HECS,0.016,µg/L,9999.995,9999.996,9999.999,,,
personal care and consumer product chemicals,bisphenol A,urine,6,3-79,HECS_GYM,BBK_BPA,WGT_HECS,0.016,µg/L,9999.995,9999.996,9999.999,,,
personal care and consumer product chemicals,bisphenol AF,urine,4,3-79,HECS_GYM,LAB_BPAF,WGT_HECS,0.062,µg/L,9.995,9.996,9.999,,,
personal care and consumer product chemicals,bisphenol AF,urine,5,3-79,HECS_GYM,LAB_BPAF,WGT_HECS,0.062,µg/L,9.995,9.996,9.999,,,
personal care and consumer product chemicals,bisphenol AF,urine,6,3-79,HECS_GYM,LAB_BPAF,WGT_HECS,0.062,µg/L,9.995,9.996,9.999,,,
personal care and consumer product chemicals,bisphenol B,urine,4,3-79,HECS_GYM,LAB_BPHB,WGT_HECS,0.0056,µg/L,9.9995,9.9996,9.9999,,,
personal care and consumer product chemicals,bisphenol B,urine,5,3-79,HECS_GYM,LAB_BPHB,WGT_HECS,0.0056,µg/L,9.9995,9.9996,9.9999,,,
personal care and consumer product chemicals,bisphenol B,urine,6,3-79,HECS_GYM,LAB_BPHB,WGT_HECS,0.0056,µg/L,9.9995,9.9996,9.9999,,,
personal care and consumer product chemicals,bisphenol E,urine,4,3-79,HECS_GYM,LAB_BPE,WGT_HECS,0.0025,µg/L,99.9995,99.9996,99.9999,,,
personal care and consumer product chemicals,bisphenol E,urine,5,3-79,HECS_GYM,LAB_BPE,WGT_HECS,0.0025,µg/L,99.9995,99.9996,99.9999,,,
personal care and consumer product chemicals,bisphenol E,urine,6,3-79,HECS_GYM,LAB_BPE,WGT_HECS,0.0025,µg/L,99.9995,99.9996,99.9999,,,
personal care and consumer product chemicals,bisphenol F,urine,4,3-79,HECS_GYM,LAB_BPF,WGT_HECS,0.039,µg/L,999.995,999.996,999.999,,,
personal care and consumer product chemicals,bisphenol F,urine,5,3-79,HECS_GYM,LAB_BPF,WGT_HECS,0.039,µg/L,999.995,999.996,999.999,,,
personal care and consumer product chemicals,bisphenol F,urine,6,3-79,HECS_GYM,LAB_BPF,WGT_HECS,0.039,µg/L,999.995,999.996,999.999,,,
personal care and consumer product chemicals,bisphenol S,urine,4,3-79,HECS_GYM,LAB_BPS,WGT_HECS,0.038,µg/L,999.995,999.996,999.999,,,
personal care and consumer product chemicals,bisphenol S,urine,5,3-79,HECS_GYM,LAB_BPS,WGT_HECS,0.038,µg/L,999.995,999.996,999.999,,,
personal care and consumer product chemicals,bisphenol S,urine,6,3-79,HECS_GYM,LAB_BPS,WGT_HECS,0.038,µg/L,999.995,999.996,999.999,,,
personal care and consumer product chemicals,bisphenol Z,urine,4,3-79,HECS_GYM,LAB_BPZ,WGT_HECS,0.022,µg/L,9.995,9.996,9.999,,,
personal care and consumer product chemicals,bisphenol Z,urine,5,3-79,HECS_GYM,LAB_BPZ,WGT_HECS,0.022,µg/L,9.995,9.996,9.999,,,
personal care and consumer product chemicals,bisphenol Z,urine,6,3-79,HECS_GYM,LAB_BPZ,WGT_HECS,0.022,µg/L,9.995,9.996,9.999,,,
personal care and consumer product chemicals,butyl paraben,urine,3,3-79,EU2,LAB_UBPN,WGT_EU,0.3,µg/L,999.95,999.96,999.99,,,
personal care and consumer product chemicals,butyl paraben,urine,4,3-79,EU,LAB_UBPN,WGT_EU,0.3,µg/L,999.95,999.96,999.99,,,
personal care and consumer product chemicals,butyl paraben,urine,5,3-79,EU,LAB_UBPN,WGT_EU,0.3,µg/L,999.95,999.96,999.99,,,
personal care and consumer product chemicals,butyl paraben,urine,6,3-79,EU,LAB_UBPN,WGT_EU,0.3,µg/L,999.95,999.96,999.99,,,
personal care and consumer product chemicals,ethyl paraben,urine,3,3-79,EU2,LAB_UEPN,WGT_EU,0.9,µg/L,9999.95,9999.96,9999.99,,,
personal care and consumer product chemicals,ethyl paraben,urine,4,3-79,EU,LAB_UEPN,WGT_EU,0.9,µg/L,9999.95,9999.96,9999.99,,,
personal care and consumer product chemicals,ethyl paraben,urine,5,3-79,EU,LAB_UEPN,WGT_EU,0.9,µg/L,9999.95,9999.96,9999.99,,,
personal care and consumer product chemicals,ethyl paraben,urine,6,3-79,EU,LAB_UEPN,WGT_EU,0.9,µg/L,9999.95,9999.96,9999.99,,,
personal care and consumer product chemicals,methyl paraben,urine,3,3-79,EU2,LAB_UMPN,WGT_EU,1.3,µg/L,9999.5,9999.6,9999.9,,,
personal care and consumer product chemicals,methyl paraben,urine,4,3-79,EU,LAB_UMPN,WGT_EU,1.3,µg/L,9999.5,9999.6,9999.9,,,
personal care and consumer product chemicals,methyl paraben,urine,5,3-79,EU,LAB_UMPN,WGT_EU,1.3,µg/L,99999.5,99999.6,99999.9,,,
personal care and consumer product chemicals,methyl paraben,urine,6,3-79,EU,LAB_UMPN,WGT_EU,1.3,µg/L,99999.5,99999.6,99999.9,,,
personal care and consumer product chemicals,propyl paraben,urine,3,3-79,EU2,LAB_UPPN,WGT_EU,0.3,µg/L,9999.95,9999.96,9999.99,,,
personal care and consumer product chemicals,propyl paraben,urine,4,3-79,EU,LAB_UPPN,WGT_EU,0.3,µg/L,9999.95,9999.96,9999.99,,,
personal care and consumer product chemicals,propyl paraben,urine,5,3-79,EU,LAB_UPPN,WGT_EU,0.3,µg/L,9999.95,9999.96,9999.99,,,
personal care and consumer product chemicals,propyl paraben,urine,6,3-79,EU,LAB_UPPN,WGT_EU,0.3,µg/L,9999.95,9999.96,9999.99,,,
personal care and consumer product chemicals,triclocarban,urine,2,3-79,EU,LAB_TCC,WGT_EU,1,µg/L,9999.5,9999.6,9999.9,,,
personal care and consumer product chemicals,triclosan,urine,2,3-79,EU,LAB_TCS,WGT_EU,3,µg/L,99995,99996,99999,,,
personal care and consumer product chemicals,triclosan,urine,3,3-79,EL,LAB_TCS,WGT_FULL,4.8,µg/L,99999.5,99999.6,99999.9,,,
personal care and consumer product chemicals,triclosan,urine,4,3-79,EU,LAB_TCS,WGT_EU,4.8,µg/L,99999.5,99999.6,99999.9,,,
personal care and consumer product chemicals,triclosan,urine,4,3-79,HECS_GYM,BBK_TCSX,WGT_HECS,1.0,µg/L,9999.5,9999.6,9999.9,,,
personal care and consumer product chemicals,triclosan,urine,5,3-79,HECS_GYM,BBK_TCSX,WGT_HECS,1.0,µg/L,9999.5,9999.6,9999.9,,,
personal care and consumer product chemicals,triclosan,urine,6,3-79,HECS_GYM,BBK_TCSX,WGT_HECS,1.0,µg/L,9999.5,9999.6,9999.9,,,
pesticides: carbamates,carbofuranphenol,urine,2,3-79,EU,LAB_CFP,WGT_EU,0.1,µg/L,9.5,9.6,9.9,,,
pesticides: carbamates,2-isopropoxyphenol,urine,2,3-79,EU,LAB_IPOP,WGT_EU,0.05,µg/L,99.95,99.96,99.99,,,
pesticides: DEET,"N,N-diethyl-m-toluamide (DEET)",urine,4,3-79,HECS_GYM,LAB_DEET,WGT_HECS,0.27,µg/L,999.95,999.96,999.99,,,
pesticides: DEET,"N,N-diethyl-m-toluamide (DEET)",urine,6,3-79,HECS_GYM,LAB_DEET,WGT_HECS,0.27,µg/L,999.95,999.96,999.99,,,
pesticides: DEET,"m-[(N,N-diethylamino)carbonyl] benzoic acid (DCBA)",urine,4,3-79,HECS_GYM,LAB_DCBA,WGT_HECS,0.41,µg/L,99999.95,99999.96,99999.99,,,
pesticides: DEET,"m-[(N,N-diethylamino)carbonyl] benzoic acid (DCBA)",urine,6,3-79,HECS_GYM,LAB_DCBA,WGT_HECS,0.41,µg/L,99999.95,99999.96,99999.99,,,
pesticides: DEET,"N,N-diethyl-m-hydroxymethylbenzamide (DHMB)",urine,4,3-79,HECS_GYM,LAB_DHMB,WGT_HECS,0.038,µg/L,999.995,999.996,999.999,,,
pesticides: DEET,"N,N-diethyl-m-hydroxymethylbenzamide (DHMB)",urine,6,3-79,HECS_GYM,LAB_DHMB,WGT_HECS,0.038,µg/L,999.995,999.996,999.999,,,
pesticides: fungicides,ethylene thiourea (ETU),urine,3,3-79,HECS_ABC,LAB_ETU,WGT_HECS,0.033,µg/L,999.995,999.996,999.999,,,
pesticides: fungicides,ethylene thiourea (ETU),urine,5,3-79,EU,LAB_ETU,WGT_EU,0.033,µg/L,99.995,99.996,99.999,,,
pesticides: fungicides,ethylene thiourea (ETU),urine,6,3-79,EU,LAB_ETU,WGT_EU,0.033,µg/L,999.995,999.996,999.999,,,
pesticides: fungicides,ortho-phenylphenol-glucuronide,urine,3,3-79,HECS_ABC,LAB_OPPG,WGT_HECS,0.15,µg/L,999.95,999.96,999.99,,,
pesticides: fungicides,ortho-phenylphenol-glucuronide,urine,5,3-79,EU,LAB_OPPG,WGT_EU,0.15,µg/L,99.95,99.96,99.99,,,
pesticides: fungicides,ortho-phenylphenol-glucuronide,urine,6,3-79,EU,LAB_OPPG,WGT_EU,0.15,µg/L,99.95,99.96,99.99,,,
pesticides: fungicides,ortho-phenylphenol-sulfate,urine,3,3-79,HECS_ABC,LAB_OPPS,WGT_HECS,0.092,µg/L,999.95,999.96,999.99,,,
pesticides: fungicides,ortho-phenylphenol-sulfate,urine,5,3-79,EU,LAB_OPPS,WGT_EU,0.092,µg/L,9999.995,9999.996,9999.999,,,
pesticides: fungicides,ortho-phenylphenol-sulfate,urine,6,3-79,EU,LAB_OPPS,WGT_EU,0.092,µg/L,9999.995,9999.996,9999.999,,,
pesticides: herbicides,"2,4-dichlorophenoxyacetic acid (2,4-D)",urine,1,6-79,HCLS,LAB_24DX,WGT_FULL,0.2,µg/L,99.99995,99.99996,99.99999,,,
pesticides: herbicides,"2,4-dichlorophenoxyacetic acid (2,4-D)",urine,2,3-79,HCLS,LAB_24DX,WGT_FULL,0.2,µg/L,999.95,999.96,999.99,,,
pesticides: herbicides,"2,4-dichlorophenoxyacetic acid (2,4-D)",urine,6,3-79,HECS_GYM,LAB_24DX,WGT_HECS,0.10,µg/L,99.95,99.96,99.99,,,
pesticides: herbicides,atrazine mercapturate (AM),urine,2,3-79,EU,LAB_AMC,WGT_EU,0.03,µg/L,9.95,9.96,9.99,,,
pesticides: herbicides,desethylatrazine (DEA),urine,2,3-79,EU,LAB_DET,WGT_EU,0.2,µg/L,9999.99995,9999.99996,9999.99999,,,
pesticides: herbicides,diaminochlorotriazine (DACT),urine,2,3-79,EU,LAB_DCT,WGT_EU,1,µg/L,9999.99995,9999.99996,9999.99999,,,
pesticides: herbicides,glyphosate,urine,4,3-79,HECS_GYM,LAB_GLYP,WGT_HECS,0.077,µg/L,99.995,99.996,99.999,,,
pesticides: herbicides,glyphosate,urine,5,3-79,HECS_GYM,LAB_GLYP,WGT_HECS,0.077,µg/L,99.995,99.996,99.999,,,
pesticides: herbicides,glyphosate,urine,6,3-79,HECS_GYM,LAB_GLYP,WGT_HECS,0.077,µg/L,99.995,99.996,99.999,,,
pesticides: herbicides,aminomethylphosphonic acid (AMPA),urine,4,3-79,HECS_GYM,LAB_AMPA,WGT_HECS,0.086,µg/L,99.995,99.996,99.999,,,
pesticides: herbicides,aminomethylphosphonic acid (AMPA),urine,5,3-79,HECS_GYM,LAB_AMPA,WGT_HECS,0.086,µg/L,99.995,99.996,99.999,,,
pesticides: herbicides,aminomethylphosphonic acid (AMPA),urine,6,3-79,HECS_GYM,LAB_AMPA,WGT_HECS,0.086,µg/L,99.995,99.996,99.999,,,
pesticides: herbicides,glufosinate,urine,4,3-79,HECS_GYM,LAB_GLUF,WGT_HECS,0.084,µg/L,9.95,9.96,9.99,,,
pesticides: herbicides,glufosinate,urine,5,3-79,HECS_GYM,LAB_GLUF,WGT_HECS,0.084,µg/L,9.95,9.96,9.99,,,
pesticides: herbicides,glufosinate,urine,6,3-79,HECS_GYM,LAB_GLUF,WGT_HECS,0.084,µg/L,9.95,9.96,9.99,,,
pesticides: herbicides,3-methylphosphinicopropionicacid (MPPA),urine,4,3-79,HECS_GYM,LAB_MPPA,WGT_HECS,0.095,µg/L,99.995,99.996,99.999,,,
pesticides: herbicides,3-methylphosphinicopropionicacid (MPPA),urine,5,3-79,HECS_GYM,LAB_MPPA,WGT_HECS,0.095,µg/L,99.995,99.996,99.999,,,
pesticides: herbicides,3-methylphosphinicopropionicacid (MPPA),urine,6,3-79,HECS_GYM,LAB_MPPA,WGT_HECS,0.095,µg/L,99.995,99.996,99.999,,,
pesticides: organochlorines,aldrin,plasma,1,20-79,PBDE,LAB_ALD,WGT_PBDE,0.01,µg/L,9.995,9.996,9.999,,,
pesticides: organochlorines,alpha-chlordane,plasma,1,20-79,PBDE,LAB_ACHL,WGT_PBDE,0.01,µg/L,9.995,9.996,9.999,,,
pesticides: organochlorines,gamma-chlordane,plasma,1,20-79,PBDE,LAB_GCHL,WGT_PBDE,0.005,µg/L,9.9995,9.9996,9.9999,,,
pesticides: organochlorines,"p,p'-dichlorodiphenyldichloroethylene (p,p'-DDE)",plasma,1,20-79,PBDE,LAB_DDE,WGT_PBDE,0.09,µg/L,999.99995,999.99996,999.99999,,,
pesticides: organochlorines,"p,p'-dichlorodiphenyltrichloroethane (p,p'-DDT)",plasma,1,20-79,PBDE,LAB_DDT,WGT_PBDE,0.05,µg/L,9.99995,9.99996,9.99999,,,
pesticides: organochlorines,hexachlorobenzene,plasma,1,20-79,PBDE,LAB_HCB,WGT_PBDE,0.04,µg/L,9.99995,9.99996,9.99999,,,
pesticides: organochlorines,beta-hexachlorocyclohexane,plasma,1,20-79,PBDE,LAB_BHCH,WGT_PBDE,0.01,µg/L,99.9995,99.9996,99.9999,,,
pesticides: organochlorines,gamma-hexachlorocyclohexane (Lindane),plasma,1,20-79,PBDE,LAB_GHCH,WGT_PBDE,0.01,µg/L,9.9995,9.9996,9.9999,,,
pesticides: organochlorines,mirex,plasma,1,20-79,PBDE,LAB_MIRX,WGT_PBDE,0.01,µg/L,9.99995,9.99996,9.99999,,,
pesticides: organochlorines,oxychlordane,plasma,1,20-79,PBDE,LAB_OCHL,WGT_PBDE,0.005,µg/L,9.9995,9.9996,9.9999,,,
pesticides: organochlorines,cis-nonachlor,plasma,1,20-79,PBDE,LAB_CNAC,WGT_PBDE,0.005,µg/L,9.99995,9.99996,9.99999,,,
pesticides: organochlorines,trans-nonachlor,plasma,1,20-79,PBDE,LAB_TNAC,WGT_PBDE,0.01,µg/L,9.99995,9.99996,9.99999,,,
pesticides: organochlorines,toxaphene parlar 26,plasma,1,20-79,PBDE,PAR_26,WGT_PBDE,0.005,µg/L,9.99995,9.99996,9.99999,,,
pesticides: organochlorines,toxaphene parlar 50,plasma,1,20-79,PBDE,PAR_50,WGT_PBDE,0.005,µg/L,9.99995,9.99996,9.99999,,,
pesticides: organophosphates,acephate,urine,3,3-79,EU2,LAB_UAPH,WGT_EU,0.018,µg/L,99.995,99.996,99.999,,,
pesticides: organophosphates,methamidophos,urine,3,3-79,EU2,LAB_UMDP,WGT_EU,0.028,µg/L,9.995,9.996,9.999,,,
pesticides: organophosphates,"3,5,6-trichloro-2-pyridinol",urine,3,3-79,EU2,LAB_UTCP,WGT_EU,0.13,µg/L,999.95,999.96,999.99,,,
pesticides: organophosphates,"3,5,6-trichloro-2-pyridinol",urine,4,3-79,EU,LAB_UTCP,WGT_EU,0.13,µg/L,999.95,999.96,999.99,,,
